z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayModes,abundance,abundanceUncertainty,betaMinus(keV),betaMinusUncertainty,electronCapture(keV),electronCaptureUncertainty,positronEmission(keV),positronEmissionUncertainty,alpha(keV),alphaUncertainty
94,144,238Pu,0,87.7,y,1,A = 100.00,,,-2.26E+03,6,-1291.4,5,-2313.4,5,5593.27,19
94,144,238Pu,0,87.7,y,1,SF = 1.9E-7,,,-2.26E+03,6,-1291.4,5,-2313.4,5,5593.27,19
94,147,241Pu,0,14.329,y,29,B- = 100.00,,,20.78,17,-1.36E+03,10,-2.38E+03,10,5140.1,5
94,147,241Pu,0,14.329,y,29,A = 2.5E-3,,,20.78,17,-1.36E+03,10,-2.38E+03,10,5140.1,5
94,147,241Pu,0,14.329,y,29,SF LT 2E-14,,,20.78,17,-1.36E+03,10,-2.38E+03,10,5140.1,5
94,146,240Pu,0,6561,y,7,A = 100.00,,,-1385,14,-2191,17,-3213,17,5255.82,14
94,146,240Pu,0,6561,y,7,SF = 5.7E-6,,,-1385,14,-2191,17,-3213,17,5255.82,14
94,141,235Pu,0,25.3,m,5,EC = 100.00,,,-2.44E+03,6,1139,20,117,20,5951,20
94,141,235Pu,0,25.3,m,5,A = 2.8E-3,,,-2.44E+03,6,1139,20,117,20,5951,20
94,140,234Pu,0,8.8,h,1,EC AP 94.00,,,-4.11E+03,16,395,11,-627,11,6310,5
94,140,234Pu,0,8.8,h,1,A AP 6.00,,,-4.11E+03,16,395,11,-627,11,6310,5
94,143,237Pu,0,45.64,d,4,EC = 100.00,,,-1.48E+03,6,220.1,13,-801.9,13,5747.6,23
94,143,237Pu,0,45.64,d,4,A = 4.2E-3,,,-1.48E+03,6,220.1,13,-801.9,13,5747.6,23
94,143,237Pu,0.146,0.18,s,2,IT  ,,,-1.48E+03,6,220.1,13,-801.9,13,5747.6,23
94,142,236Pu,0,2.858,y,8,A = 100.00,,,-3.14E+03,12,-4.80E+02,5,-1.50E+03,5,5867.15,8
94,142,236Pu,0,2.858,y,8,SF = 1.9E-7,,,-3.14E+03,12,-4.80E+02,5,-1.50E+03,5,5867.15,8
94,138,232Pu,0,33.8,m,7,EC = 90.00,,,-5.10E+03,3,1.00E+03,10,0,AP,6716,10
94,138,232Pu,0,33.8,m,7,A = 10.00,,,-5.10E+03,3,1.00E+03,10,0,AP,6716,10
94,137,231Pu,0,8.6,m,5,EC = 90.00,,,-4.10E+03,3,2.68E+03,6,1.66E+03,6,6839,20
94,137,231Pu,0,8.6,m,5,A = 10.00,,,-4.10E+03,3,2.68E+03,6,1.66E+03,6,6839,20
94,139,233Pu,0,20.9,m,4,EC = 99.88,,,-3.23E+03,13,2.10E+03,7,1.08E+03,7,6.42E+03,5
94,139,233Pu,0,20.9,m,4,A = 0.12,,,-3.23E+03,13,2.10E+03,7,1.08E+03,7,6.42E+03,5
94,134,228Pu,0,1.1,s,15,A = 100.00,,,-6.74E+03,20,2.28E+03,10,1.26E+03,10,7940,18
94,133,227Pu,,,,,,,,-5.41E+03,22,4.19E+03,13,3.17E+03,13,8.30E+03,12
94,136,230Pu,0,102,s,10,A LT 100.00,,,-5.94E+03,14,1.70E+03,6,6.70E+02,6,7178,9
94,135,229Pu,0,67,s,22,EC = 50.00,,,-4.79E+03,12,3.59E+03,12,2.57E+03,12,7.60E+03,6
94,135,229Pu,0,67,s,22,A = 50.00,,,-4.79E+03,12,3.59E+03,12,2.57E+03,12,7.60E+03,6
94,135,229Pu,0,67,s,22,SF LT 7.00,,,-4.79E+03,12,3.59E+03,12,2.57E+03,12,7.60E+03,6
95,135,230Am,0,17,s,AP,EC = 100.00,,,,,5.94E+03,14,4.92E+03,14,7.63E+03,10
95,134,229Am,,,,,,,,,,4.79E+03,12,3.76E+03,12,8.14E+03,5
95,133,228Am,,,,,,,,,,6.74E+03,20,5.72E+03,20,8.39E+03,20
95,132,227Am,,,,,,,,,,5.41E+03,22,4.39E+03,22,9.10E+03,22
95,139,234Am,0,2.32,m,8,EC = 100.00,,,-2.26E+03,16,4.11E+03,16,3.09E+03,16,6.80E+03,15
95,139,234Am,0,2.32,m,8,A  ,,,-2.26E+03,16,4.11E+03,16,3.09E+03,16,6.80E+03,15
95,138,233Am,0,3.2,m,8,A AP 3.00,,,-4.01E+03,14,3.23E+03,13,2.21E+03,13,7.06E+03,5
95,138,233Am,0,3.2,m,8,EC  ,,,-4.01E+03,14,3.23E+03,13,2.21E+03,13,7.06E+03,5
95,137,232Am,0,79,s,2,A AP 3.00,,,-2.90E+03,4,5.10E+03,3,4.00E+03,3,7.20E+03,3
95,137,232Am,0,79,s,2,EC = @ 97.00,,,-2.90E+03,4,5.10E+03,3,4.00E+03,3,7.20E+03,3
95,136,231Am,,,,,A ? ,,,-4.90E+03,4,4.10E+03,3,3.10E+03,3,7.40E+03,3
95,136,231Am,,,,,EC = ?,,,-4.90E+03,4,4.10E+03,3,3.10E+03,3,7.40E+03,3
95,142,237Am,0,73.6,m,8,EC = 99.97,,,-2.68E+03,10,1.48E+03,6,4.60E+02,6,6.20E+03,3
95,142,237Am,0,73.6,m,8,A = 0.03,,,-2.68E+03,10,1.48E+03,6,4.60E+02,6,6.20E+03,3
95,141,236Am,0,3.6,m,2,A  ,,,-1.81E+03,12,3.14E+03,12,2.12E+03,12,6.26E+03,6
95,141,236Am,0,3.6,m,2,EC  ,,,-1.81E+03,12,3.14E+03,12,2.12E+03,12,6.26E+03,6
95,141,236Am,0,2.9,m,2,A  ,,,-1.81E+03,12,3.14E+03,12,2.12E+03,12,6.26E+03,6
95,141,236Am,0,2.9,m,2,EC  ,,,-1.81E+03,12,3.14E+03,12,2.12E+03,12,6.26E+03,6
95,140,235Am,0,10.3,m,6,EC = 99.60,,,-3.39E+03,12,2.44E+03,6,1.42E+03,6,6576,13
95,140,235Am,0,10.3,m,6,A = 0.40,,,-3.39E+03,12,2.44E+03,6,1.42E+03,6,6576,13
95,146,241Am,0,432.6,y,6,A = 100.00,,,-767.4,12,-20.78,17,-1042.78,17,5637.82,12
95,146,241Am,0,432.6,y,6,SF = 4E-10,,,-767.4,12,-20.78,17,-1042.78,17,5637.82,12
95,145,240Am,0,50.8,h,3,EC = 100.00,,,-214,14,1385,14,363,14,5.71E+03,5
95,145,240Am,0,50.8,h,3,A = 1.9E-4,,,-214,14,1385,14,363,14,5.71E+03,5
95,145,240Am,3,0.94,ms,4,SF = &100.00,,,-214,14,1385,14,363,14,5.71E+03,5
95,144,239Am,0,11.9,h,1,EC = 99.99,,,-1.76E+03,15,802.1,17,-219.9,17,5922.4,14
95,144,239Am,0,11.9,h,1,A = 0.01,,,-1.76E+03,15,802.1,17,-219.9,17,5922.4,14
95,143,238Am,0,98,m,2,EC = 100.00,,,-1.02E+03,6,2.26E+03,6,1.24E+03,6,6.04E+03,6
95,143,238Am,0,98,m,2,A = 1.0E-4,,,-1.02E+03,6,2.26E+03,6,1.24E+03,6,6.04E+03,6
95,149,244Am,0,10.1,h,1,B- = 100.00,,,1427.3,10,73,3,-949,3,5138,17
95,149,244Am,0,0.9,ms,15,SF = &100.00,,,1427.3,10,73,3,-949,3,5138,17
95,149,244Am,0.0861,26,m,1,B- = 99.96,,,1427.3,10,73,3,-949,3,5138,17
95,149,244Am,0.0861,26,m,1,EC = 0.04,,,1427.3,10,73,3,-949,3,5138,17
95,148,243Am,0,7364,y,22,A = 100.00,,,-6.9,16,-580,3,-1602,3,5439.1,9
95,148,243Am,0,7364,y,22,SF = 3.7E-9,,,-6.9,16,-580,3,-1602,3,5439.1,9
95,147,242Am,0,16.02,h,2,B- = 82.70,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,147,242Am,0,16.02,h,2,EC = 17.30,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,147,242Am,0.0486,141,y,2,IT = 99.55,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,147,242Am,0.0486,141,y,2,A = 0.45,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,147,242Am,0.0486,141,y,2,SF = <4.7E-9,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,147,242Am,2.2,14,ms,10,A LT 5.0E-3,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,147,242Am,2.2,14,ms,10,SF = @100.00,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,147,242Am,2.2,14,ms,10,IT = >  0.00,,,664.3,4,751.1,7,-270.9,7,5588.5,3
95,153,248Am,0,10,m,AP,B- = 100.00,,,3.17E+03,20,,,,,4.90E+03,22
95,152,247Am,0,23,m,13,B- = 100.00,,,1.62E+03,10,-2.06E+03,22,-3.08E+03,22,4.92E+03,11
95,151,246Am,0,39,m,3,B- = 100.00,,,2377,18,-401,14,-1423,14,5.15E+03,20
95,151,246Am,0,25,m,2,B- = 100.00,,,2377,18,-401,14,-1423,14,5.15E+03,20
